dtcode11,dtname,Pct_Pop_Below_Poverty,Pct_Scheduled_Caste,Avg_Household_Income,Pct_Illiterate,Literacy_Rate,Pct_HH_No_Toilet,Pct_HH_Electricity,Pct_HH_Clean_Cooking_Fuel,Air_Quality_Index_Avg,Health_Insurance_Coverage,Primary_Health_Centers_Per_100k
56,Uttarkashi,21.36994881,24.87432615,31369.30345,7.795109072,78.41513744,27.17912384,73.06041793,62.95828823,108.971093,75.06577325,3.519823588
57,Chamoli,37.09377685,53.46366715,13721.02954,15.07353853,47.28324527,41.13196274,42.23399193,30.36968033,193.3858044,49.24388274,0.720083031
60,Dehradun,31.04969593,36.92871399,13322.62253,14.65077598,63.82219519,45.56423999,59.33163781,41.05407712,168.5967231,59.02190139,2.275095917
59,Tehri Garhwal,26.39153056,31.04058209,29908.25589,13.74613513,65.93110149,40.06936788,60.55020832,51.35920965,143.2286089,53.65716412,2.364360768
58,Rudraprayag,9.374856254,12.55492841,54274.89415,8.381748565,75.19417956,19.71167271,82.02855068,68.05925099,80.31542438,78.36363592,3.844200695
62,Pithoragarh,20.0629611,12.21478733,46352.39589,8.394590685,80.00517854,16.94372046,86.94192342,73.45706118,81.84427804,75.51308417,3.59566354
63,Bageshwar,17.01759277,14.88076932,45002.18154,6.794124359,88.77380763,10,87.58033403,91.36052613,76.23949728,87.00205049,4.212526483
68,Hardwar,31.81512794,41.34647725,19226.46395,15.77904619,58.79563607,41.2360496,43.38735951,33.33814879,181.8599782,54.55509821,1.759826774
61,Garhwal,27.94596712,28.09790146,19314.43286,11.36809787,71.83703084,39.35869684,65.90845747,41.76223115,153.823495,62.31777155,2.957916263
64,Almora,29.89073909,30.40440402,12592.91613,11.04267322,62.20029346,38.42980569,52.30431744,38.02876843,149.0918722,53.18245573,2.314162801
66,Nainital,11.44574994,9.094020249,49127.46029,6.977184625,95,12.60669782,77.61255707,81.74024596,60.02554567,82.24600127,5.207839083
65,Champawat,32.76870404,41.78215946,8392.537014,17.23831876,46.4812913,51.42399634,41.3524577,27.40741773,203.6692386,44.59949032,2.37790589
67,Udham Singh Nagar,33.58752642,38.94582362,9298.674444,14.91720903,54.03887298,49.75886833,45.07051514,33.39306723,169.3614781,41.42571348,1.440961014
